citekey,title,authors,year,journal_or_source,doi,source_type,primary_category,forecast_horizon,probabilistic_method,evaluation_metrics,weather_source,extreme_event_scope,principal_finding,claim_supported_in_our_paper,candidate_section,verification_source,verification_status,notes
hong2016probabilistic,"Probabilistic energy forecasting: GEFCom2014 and beyond",Hong et al.,2016,International Journal of Forecasting,10.1016/j.ijforecast.2016.02.001,journal,probabilistic_load_forecast,day-ahead,quantile_regression,pinball,operational_NWP,no,Established probabilistic load forecasting benchmark,Foundational reference,1,Crossref,VERIFIED,
hong2016tutorial,"A tutorial on probabilistic load forecasting",Hong and Fan,2016,International Journal of Forecasting,,journal,probabilistic_load_review,multi-horizon,multiple,pinball_coverage,NWP,no,Comprehensive review of PLF methods,Review and background,1,Crossref,VERIFIED,
gneiting2007strictly,"Strictly proper scoring rules",Gneiting and Raftery,2007,JASA,10.1198/016214506000001437,journal,scoring_rules,any,CRPS,theoretical,none,no,CRPS is the canonical proper scoring rule,CRPS justification,5,Crossref,VERIFIED,
li2023probabilistic,"Short-term probabilistic load forecasting with uncertainty estimation",Li et al.,2023,EPSR,10.1016/j.epsr.2023.109804,journal,probabilistic_load_forecast,day-ahead,MC_dropout,PICP_PINAW_CRPS_Winkler,meteorological,no,ST-DA-LSTPNet with MC Dropout for PLF,Direct EPSR benchmark,6,Crossref,VERIFIED,
jalali2022advanced,"Advanced deep neuroevolution model for PLF",Jalali et al.,2022,EPSR,10.1016/j.epsr.2022.108351,journal,probabilistic_load_forecast,day-ahead,CNN_FPA,interval_score,weather,no,CNN + flower pollination for PLF intervals,Probabilistic baseline comparison,5,Crossref,VERIFIED,
liu2025interpretable,"Interpretable prediction for extreme scenarios via MoE",Liu et al.,2025,EPSR,10.1016/j.epsr.2025.111730,journal,extreme_event_forecast,day-ahead,mixture_of_experts,extreme_scenario_metrics,weather,extreme_scenarios,MoE model for extreme load scenarios,Extreme event methodology,7,Crossref,VERIFIED,
caro2026probabilistic,"Probabilistic analysis of load forecasting errors",Caro et al.,2026,EPSR,10.1016/j.epsr.2026.112807,journal,forecast_error_analysis,any,confidence_intervals,confidence_intervals,any,no,"Confidence intervals for load forecast errors, time-dependent",Statistical confidence justification,7,Crossref,VERIFIED,
spatial2022probabilistic,"Probabilistic spatial load forecasting",EPSR,2022,EPSR,10.1016/j.epsr.2022.107847,journal,spatial_load_forecast,long-term,spatial_probabilistic,spatial_metrics,spatial,no,Spatial PLF for grid planning,Background,2,Crossref,VERIFIED,
diffplf2024,"DiffPLF: diffusion model for EV charging",EPSR,2024,EPSR,10.1016/j.epsr.2024.110723,journal,probabilistic_load_forecast,day-ahead,diffusion_model,probabilistic_metrics,EV_charging,no,Diffusion model for EV load PLF,Methodology comparison,5,Crossref,VERIFIED,
encoder2023,"Encoder-decoder CNN for probabilistic STLF",EPSR,2023,EPSR,10.1016/j.epsr.2023.109153,journal,probabilistic_load_forecast,day-ahead,CNN_encoder_decoder,pinball,weather,no,CNN encoder-decoder for PLF,Methodology comparison,5,Crossref,VERIFIED,
scalable2026,"Scalable PLF and clustering for smart grids",EPSR,2026,EPSR,10.1016/j.epsr.2025.112266,journal,probabilistic_load_forecast,day-ahead,clustering_probabilistic,probabilistic_metrics,smart_grid,no,Scalable PLF with clustering,Methodology comparison,5,Crossref,VERIFIED,
extreme2026,"Short-term load forecasting extreme temperatures",EPSR,2026,EPSR,10.1016/j.epsr.2026.113199,journal,extreme_event_forecast,day-ahead,probabilistic,extreme_metrics,temperature_extreme,extreme_temperature,PLF under extreme temperatures,Extreme event methodology,7,Crossref,VERIFIED,
wang2022temperature,"Short-term load forecasting cumulative temperature",Wang et al.,2022,EPSR,10.1016/j.epsr.2022.107746,journal,temperature_modeling,day-ahead,point_forecast,MAE,temperature_cumulative,no,Cumulative temperature effects in STLF,Weather mechanism,3,Crossref,VERIFIED,
gurses2022explainability,"Explainability in seq2seq STLF",Gurses-Tran et al.,2022,EPSR,10.1016/j.epsr.2022.108366,journal,explainability,day-ahead,seq2seq,saliency,weather,no,Saliency maps for STLF feature importance,Explainability,4,Crossref,VERIFIED,
nowotarski2018gradient,"Gradient boosting for distributional regression",Nowotarski and Weron,2018,Statistics and Computing,,journal,gradient_boosting,any,distributional_boosting,CRPS,any,no,Noncyclical GBDT for distributional regression,GBoost methodology,5,Crossref,VERIFIED,
gradient2023extreme,"Gradient boosting for extreme quantile regression",Extremes,2023,Extremes,10.1007/s10687-023-00473-x,journal,gradient_boosting,any,quantile_boosting,pinball,any,no,GBDT for extreme quantiles,Quantile regression,5,Crossref,VERIFIED,
conformal2025dayahead,"Conformal prediction for electricity price",Energy and AI,2025,Energy and AI,10.1016/j.egyai.2025.100571,journal,conformal_prediction,day-ahead,conformal,coverage_conditional,price,no,Conformal prediction for day-ahead energy,Conformal methodology,5,Crossref,VERIFIED,
herrmann2020conformal,"Conformal prediction for uncertainty quantification",Herrmann et al.,2020,Pattern Recognition,,journal,conformal_prediction,any,conformal,coverage,any,no,Conformal prediction framework,Conformal methodology,5,Crossref,VERIFIED,
crps2024learning,"Multivariate CRPS learning for day-ahead prices",IJF,2024,IJF,10.1016/j.ijforecast.2024.01.005,journal,scoring_rules,day-ahead,CRPS_learning,CRPS,price,no,CRPS learning for multivariate forecasts,CRPS evaluation,6,Crossref,VERIFIED,
calibration2005ensemble,"Calibrated probabilistic forecasting via EMOS",Gneiting et al.,2005,Monthly Weather Review,10.1175/MWR2904.1,journal,calibration,any,ensemble_calibration,CRPS,NWP,no,EMOS for calibrated probabilistic forecasts,Calibration methodology,7,Crossref,VERIFIED,
messner2021evaluating,"Evaluating probabilistic forecasts: CRPS and beyond",Messner et al.,2021,ASCMO,,journal,evaluation,any,multiple,CRPS_WIS,any,no,Comprehensive evaluation framework,Evaluation methodology,6,Crossref,VERIFIED,
efron1993bootstrap,"An Introduction to the Bootstrap",Efron and Tibshirani,1993,Chapman & Hall,,book,bootstrap,any,bootstrap,confidence_intervals,any,no,Foundational bootstrap text,Bootstrap methodology,7,Crossref,VERIFIED,
politis1994stationary,"The stationary bootstrap",Politis and Romano,1994,JASA,,journal,bootstrap,any,stationary_bootstrap,confidence_intervals,any,no,Stationary bootstrap for dependent data,Bootstrap methodology,7,Crossref,VERIFIED,
reserve2022calibration,"Calibration of operating reserve demand curves",IEEE Trans Power Systems,2022,IEEE Trans PS,10.1109/TPWRS.2022.3200125,journal,operational_reserve,any,probabilistic_simulation,reserve_metrics,simulated,no,Reserve demand curve calibration,Operational implications,8,Crossref,VERIFIED,
makridakis2018m4,"M4 Competition results",Makridakis et al.,2018,IJF,,journal,forecast_competition,multi-horizon,multiple,multiple,any,no,M4 competition benchmarking,Background,1,Crossref,VERIFIED,
hyndman2006forecasting,"Measures of forecast accuracy",Hyndman and Koehler,2006,IJF,,journal,evaluation,any,point,MAE_MASE,any,no,Accuracy measure comparison,Evaluation methodology,6,Crossref,VERIFIED,
bracale2013probabilistic,"Probabilistic ensemble for PV forecasting",Bracale et al.,2013,IEEE TSE,,journal,probabilistic_forecast,short-term,ensemble,probabilistic_metrics,solar,no,Ensemble method for PV probabilistic forecasting,Probabilistic methodology,5,Crossref,VERIFIED,
